RefId,IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
72715,0,6/24/09,ADESA,2006,3,DODGE,CARAVAN GRAND FWD V6,Bas,MINIVAN 3.3L,WHITE,AUTO,1,Alloy,87133,AMERICAN,VAN,CHRYSLER,6544,8170,7568,9324,6470,8226,7488,9384,NULL,NULL,18880,30212,GA,5400,0,1763
72716,1,6/24/09,ADESA,2005,4,FORD,FREESTYLE 2WD V6 3.0,SEL,4D CUV 3.0L SEL,WHITE,AUTO,1,Alloy,79963,AMERICAN,CROSSOVER,FORD,7832,9491,8959,10750,7832,9491,8959,10750,NULL,NULL,18880,30212,GA,8000,0,1506
72717,0,6/24/09,ADESA,2005,4,CHRYSLER,SEBRING 4C 2.4L I4 S,Bas,4D SEDAN,GREEN,AUTO,1,Alloy,78621,AMERICAN,MEDIUM,CHRYSLER,4012,5406,4833,6338,4012,5406,4833,6338,NULL,NULL,18881,30212,GA,5000,0,1155
72718,0,6/24/09,ADESA,2003,6,FORD,MUSTANG V6 3.8L V6 E,Bas,2D COUPE,YELLOW,AUTO,3,Special,87241,AMERICAN,SPORTS,FORD,4722,5721,5600,6679,4722,5721,5600,6679,NULL,NULL,18880,30212,GA,6700,0,1153
72719,0,6/24/09,ADESA,2005,4,BUICK,LACROSSE 3.8L V6 SFI,CX,4D SEDAN CX,MAROON,AUTO,2,Covers,80562,AMERICAN,LARGE,GM,7302,8933,8386,10148,7302,8933,8386,10148,NULL,NULL,18881,30212,GA,6500,0,1633
72720,1,6/24/09,ADESA,2007,2,KIA,OPTIMA 4C 2.4L I4 MP,EX,4D SEDAN,GOLD,AUTO,NULL,NULL,45469,OTHER ASIAN,MEDIUM,OTHER,7285,8368,8368,9537,7285,8368,8368,9537,NULL,NULL,18880,30212,GA,6700,0,623
72721,0,6/24/09,ADESA,2005,4,DODGE,DURANGO 2WD V8 4.7L,SLT,4D SUV 4.7L SLT,SILVER,AUTO,1,Alloy,74645,AMERICAN,MEDIUM SUV,CHRYSLER,8298,9574,9462,10840,8298,9574,9462,10840,NULL,NULL,18880,30212,GA,8900,0,1389
72722,0,6/24/09,ADESA,2006,3,PONTIAC,G6 V6 3.9L V6 SFI,GTP,4D SEDAN GTP,GREEN,AUTO,1,Alloy,86549,AMERICAN,MEDIUM,GM,9261,10983,10502,12362,9317,11208,10562,12605,NULL,NULL,18880,30212,GA,7500,0,1373
72723,0,7/1/09,ADESA,2004,5,FORD,FOCUS 2.0L I4 SFI,SE,4D SEDAN SE,GREY,AUTO,1,Alloy,77358,AMERICAN,COMPACT,FORD,3173,4249,3927,5089,3672,4554,4466,5418,NULL,NULL,18881,30212,GA,3700,0,1155
72724,0,7/1/09,ADESA,2007,2,PONTIAC,G6 4C 2.4L I4 MFI /,Bas,4D SEDAN SE1,GREEN,AUTO,1,Alloy,74194,AMERICAN,MEDIUM,GM,7766,8815,8887,10020,7766,8815,8887,10020,NULL,NULL,8172,30212,GA,7100,0,1038
72725,0,7/1/09,ADESA,2004,5,FORD,F150 PICKUP 2WD V8 5,XL,EXT CAB 5.4L LARIAT,MAROON,AUTO,1,Alloy,87961,AMERICAN,LARGE TRUCK,FORD,9261,11333,10502,12740,8886,10718,10097,12075,NULL,NULL,8172,30212,GA,9100,0,853
72726,0,7/1/09,ADESA,2002,7,CHRYSLER,PT CRUISER 2.4L I4 M,Bas,4D SEDAN,MAROON,AUTO,2,Covers,91112,AMERICAN,MEDIUM,CHRYSLER,2667,3401,3380,4173,2667,3401,3380,4173,NULL,NULL,18881,30212,GA,3500,0,1930
72727,0,7/1/09,ADESA,2005,4,MERCURY,SABLE 3.0L V6 EFI,GS,4D SEDAN GS,SILVER,AUTO,2,Covers,84081,AMERICAN,MEDIUM,FORD,3646,4993,4438,5892,3971,5607,4789,6556,NULL,NULL,18881,30212,GA,4700,0,983
72728,0,7/1/09,ADESA,2006,3,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 3.7L,GREY,AUTO,1,Alloy,55342,AMERICAN,LARGE TRUCK,CHRYSLER,9536,11534,10799,12957,9529,11527,10791,12949,NULL,NULL,8172,30212,GA,10600,0,505
72729,0,7/1/09,ADESA,2005,4,DODGE,CARAVAN GRAND FWD V6,SE,MINIVAN 3.3L,WHITE,AUTO,2,Covers,87435,AMERICAN,VAN,CHRYSLER,4827,6260,5713,7261,4448,5777,5304,6739,NULL,NULL,8172,30212,GA,5700,0,1763
72730,0,7/1/09,ADESA,2002,7,JEEP,GRAND CHEROKEE 2WD V,Lim,4D WAGON,GREY,AUTO,1,Alloy,86906,AMERICAN,MEDIUM SUV,CHRYSLER,0,0,0,0,0,0,0,0,NULL,NULL,18881,30212,GA,5900,0,2322
72731,0,7/1/09,ADESA,2003,6,FORD,TAURUS 3.0L V6 EFI,SES,4D SEDAN SES,GREY,AUTO,1,Alloy,96880,AMERICAN,MEDIUM,FORD,2559,3556,3264,4340,2881,3976,3611,4794,NULL,NULL,18881,30212,GA,3500,0,1353
72732,1,7/1/09,ADESA,2007,2,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 3.7L,BLUE,AUTO,3,Special,88442,AMERICAN,LARGE TRUCK,CHRYSLER,12050,14044,13514,15668,12050,14044,13514,15668,NULL,NULL,8172,30212,GA,10300,0,594
72733,0,7/1/09,ADESA,2006,3,PONTIAC,G6 V6 3.5L V6 SFI,Bas,4D SEDAN,BLACK,AUTO,1,Alloy,69360,AMERICAN,MEDIUM,GM,7371,8631,8461,9821,7371,8631,8461,9821,NULL,NULL,8172,30212,GA,6400,0,1118
72734,0,7/1/09,ADESA,2002,7,TOYOTA,SEQUOIA 2WD 4.7L V8,SR5,4D SPORT UTILITY SR5,SILVER,AUTO,1,Alloy,87726,TOP LINE ASIAN,LARGE SUV,OTHER,8092,9541,9239,10804,8221,10401,9379,11733,NULL,NULL,8172,30212,GA,9295,0,1803
72735,0,7/1/09,ADESA,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,WHITE,AUTO,1,Alloy,54282,AMERICAN,LARGE TRUCK,CHRYSLER,5073,7032,5979,8095,4236,5597,5075,6545,NULL,NULL,8172,30212,GA,9200,0,754
72736,0,7/1/09,ADESA,2003,6,FORD,EXPEDITION 2WD V8 4.,XLT,4D SUV 4.6L XLT,BLACK,AUTO,1,Alloy,58955,AMERICAN,LARGE SUV,FORD,7270,8615,8352,9804,6749,7919,7789,9053,NULL,NULL,8172,30212,GA,10400,0,1137
72737,0,7/8/09,ADESA,2003,6,CHEVROLET,AVALANCHE 1500 2WD V,150,4D SUV-PICKUP 5.3L,GREY,AUTO,1,Alloy,78541,AMERICAN,LARGE TRUCK,GM,8670,10474,9864,11812,8132,9519,9283,10781,NULL,NULL,18111,30212,GA,10900,0,1572
72738,1,7/8/09,ADESA,2005,4,DODGE,STRATUS V6 2.7L V6 M,SXT,4D SEDAN SXT FFV,SILVER,AUTO,1,Alloy,107091,AMERICAN,MEDIUM,CHRYSLER,5488,6516,6427,7537,5488,6516,6427,7537,NULL,NULL,18111,30212,GA,3700,0,1770
72739,0,7/8/09,ADESA,2006,3,SUZUKI,FORENZA 2.0L I4 EFI,,4D SEDAN,RED,AUTO,2,Covers,57101,OTHER ASIAN,MEDIUM,OTHER,3996,4973,4816,5871,4145,5253,4977,6173,NULL,NULL,18881,30212,GA,5000,0,505
72740,0,7/8/09,ADESA,2006,3,CHRYSLER,300 2.7L V6 MPI,Bas,4D SEDAN,BLUE,AUTO,3,Special,81885,AMERICAN,SPECIALTY,CHRYSLER,9495,11215,10755,12612,10352,12039,11680,13502,NULL,NULL,18111,30212,GA,9800,0,1503
