RefId,IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
1,0,12/7/09,ADESA,2006,3,MAZDA,MAZDA3,i,4D SEDAN I,RED,AUTO,1,Alloy,89046,OTHER ASIAN,MEDIUM,OTHER,8155,9829,11636,13600,7451,8552,11597,12409,NULL,NULL,21973,33619,FL,7100,0,1113
2,0,12/7/09,ADESA,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,WHITE,AUTO,1,Alloy,93593,AMERICAN,LARGE TRUCK,CHRYSLER,6854,8383,10897,12572,7456,9222,11374,12791,NULL,NULL,19638,33619,FL,7600,0,1053
3,0,12/7/09,ADESA,2005,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT FFV,MAROON,AUTO,2,Covers,73807,AMERICAN,MEDIUM,CHRYSLER,3202,4760,6943,8457,4035,5557,7146,8702,NULL,NULL,19638,33619,FL,4900,0,1389
4,0,12/7/09,ADESA,2004,5,DODGE,NEON,SXT,4D SEDAN,SILVER,AUTO,1,Alloy,65617,AMERICAN,COMPACT,CHRYSLER,1893,2675,4658,5690,1844,2646,4375,5518,NULL,NULL,19638,33619,FL,4100,0,630
6,0,12/7/09,ADESA,2004,5,MITSUBISHI,GALANT 4C,ES,4D SEDAN ES,WHITE,AUTO,2,Covers,81054,OTHER ASIAN,MEDIUM,OTHER,3901,4908,6706,8577,4709,5827,8149,9451,NULL,NULL,19638,33619,FL,5600,0,594
7,0,12/7/09,ADESA,2004,5,KIA,SPECTRA,EX,4D SEDAN EX,BLACK,AUTO,2,Covers,65328,OTHER ASIAN,MEDIUM,OTHER,2966,4038,6240,8496,2980,4115,6230,8603,NULL,NULL,19638,33619,FL,4200,0,533
8,0,12/7/09,ADESA,2005,4,FORD,TAURUS,SE,4D SEDAN SE,WHITE,AUTO,2,Covers,65805,AMERICAN,MEDIUM,FORD,3313,4342,6667,7707,3713,4578,6942,8242,NULL,NULL,19638,33619,FL,4500,0,825
9,0,12/7/09,ADESA,2007,2,KIA,SPECTRA,EX,4D SEDAN EX,BLACK,AUTO,2,Covers,49921,OTHER ASIAN,MEDIUM,OTHER,6196,7274,9687,10624,6417,7371,9637,10778,NULL,NULL,21973,33619,FL,5600,0,482
10,0,12/7/09,ADESA,2007,2,FORD,FIVE HUNDRED,SEL,4D SEDAN SEL,RED,AUTO,1,Alloy,84872,AMERICAN,LARGE,FORD,7845,9752,11734,13656,9167,10988,12580,14845,NULL,NULL,21973,33619,FL,7700,0,1633
11,0,12/14/09,ADESA,2005,4,GMC,1500 SIERRA PICKUP 2,SLE,REG CAB 4.3L,SILVER,AUTO,1,Alloy,80080,AMERICAN,LARGE TRUCK,GM,5243,6627,8848,10458,5712,7552,9494,11663,NULL,NULL,5546,33619,FL,5500,0,1373
13,1,12/14/09,ADESA,2005,4,DODGE,CARAVAN GRAND FWD V6,SE,MINIVAN 3.3L,RED,AUTO,1,Alloy,79315,AMERICAN,VAN,CHRYSLER,4225,5380,7910,10108,4807,6077,8523,10124,NULL,NULL,19638,33619,FL,5400,0,1623
14,0,12/14/09,ADESA,2005,4,NISSAN,ALTIMA,Bas,4D SEDAN,WHITE,AUTO,2,Covers,71254,TOP LINE ASIAN,MEDIUM,OTHER,5684,6921,8976,10789,5976,7190,9374,10780,NULL,NULL,19638,33619,FL,7800,0,686
15,0,12/14/09,ADESA,2006,3,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L,GOLD,AUTO,1,Alloy,74722,AMERICAN,VAN,CHRYSLER,6999,9730,10743,14066,7952,9910,12131,13836,NULL,NULL,19638,33619,FL,6900,0,1623
17,0,12/14/09,ADESA,2005,4,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L,WHITE,AUTO,1,Alloy,80736,AMERICAN,MEDIUM SUV,GM,6742,7951,11068,12885,7670,9159,12596,15041,NULL,NULL,19638,33619,FL,6800,0,1243
18,0,12/14/09,ADESA,2003,6,SATURN,VUE 2WD 4C,,4D CUV 2.2L,RED,AUTO,2,Covers,75156,AMERICAN,MEDIUM SUV,GM,2756,3475,5835,6925,3513,4572,7195,9364,NULL,NULL,5546,33619,FL,4900,0,1923
19,0,12/14/09,ADESA,2005,4,CHEVROLET,IMPALA,Bas,4D SEDAN,GREY,AUTO,2,Covers,65925,AMERICAN,LARGE,GM,3983,5244,7316,9194,4107,5191,7638,8800,NULL,NULL,19638,33619,FL,5700,0,1703
20,0,12/14/09,ADESA,2004,5,GMC,ENVOY XL 2WD 6C,SLE,4D UTILITY 4.2L SLE,BLACK,AUTO,1,Alloy,84498,AMERICAN,MEDIUM SUV,GM,7347,8845,11092,13052,7436,8766,11367,12609,NULL,NULL,19638,33619,FL,7100,0,1243
